Date,OPP,Result,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS
Tue 5/13,vsMIA,W5-4,4,0,0,0,0,0,0,0,0,0,0,0,.239,.299,.497,.796
Mon 5/12,vsMIA,W5-2,3,1,1,0,0,1,2,1,0,1,0,1,.245,.306,.510,.816
Sun 5/11,@NYM,L6-2,4,0,0,0,0,0,0,0,0,1,0,0,.243,.301,.493,.795
Sat 5/10,@NYM,W6-5,5,1,2,1,0,0,1,0,0,2,0,0,.250,.309,.507,.815
Fri 5/9,@NYM,L7-2,4,0,0,0,0,0,0,0,0,1,0,0,.245,.306,.503,.809
Wed 5/7,vsSF,L3-1,4,0,0,0,0,0,0,0,0,1,0,0,.252,.314,.518,.832
Tue 5/6,vsSF,L14-5 F/11,5,0,0,0,0,0,0,0,0,2,0,0,.259,.322,.533,.855
Mon 5/5,vsSF,W9-2,5,0,1,0,0,0,2,0,0,0,0,0,.269,.333,.554,.887
Sun 5/4,@MIL,L4-0,4,0,0,0,0,0,0,0,0,3,0,0,.272,.338,.568,.906
Sat 5/3,@MIL,W6-2,4,0,0,0,0,0,0,0,0,2,0,0,.281,.348,.587,.935
Fri 5/2,@MIL,W10-0,5,1,1,0,0,0,1,0,0,2,0,0,.291,.359,.607,.966
Thu 5/1,@PIT,W8-3,4,2,2,0,0,2,3,1,0,0,0,0,.295,.365,.625,.990
may,51,5,7,1,0,3,9,2,0,15,0,1,.137,.170,.333,.503
Wed 4/30,@PIT,L4-3,4,0,0,0,0,0,0,0,0,3,0,0,.287,.355,.574,.929
Tue 4/29,@PIT,W9-0,4,3,3,1,1,1,2,1,0,0,0,0,.298,.368,.596,.964
Sun 4/27,vsPHI,L3-1 F/10,4,0,0,0,0,0,0,0,0,3,0,0,.280,.348,.530,.878
Sat 4/26,vsPHI,L10-4,4,0,2,0,0,0,3,0,0,0,0,0,.292,.361,.552,.913
Fri 4/25,vsPHI,W4-0,5,0,2,2,0,0,0,0,0,1,0,0,.283,.356,.554,.910
Tue 4/22,vsLAD,W11-10 F/10,5,1,2,1,0,0,2,0,0,2,0,0,.276,.354,.540,.894
Sun 4/20,vsARI,L3-2 F/11,4,0,0,0,0,0,0,0,0,1,0,0,.268,.351,.537,.888
Sat 4/19,vsARI,W6-2,4,1,1,0,0,1,2,0,0,1,0,0,.282,.367,.564,.931
Fri 4/18,vsARI,W13-11,5,1,1,0,0,1,1,0,0,1,0,0,.284,.372,.541,.913
Wed 4/16,@SD,L4-2,4,0,1,0,0,0,0,0,0,0,0,0,.290,.383,.522,.904
Sat 4/12,@LAD,W16-0,2,0,0,0,0,0,0,0,0,0,0,0,.292,.390,.538,.928
Fri 4/11,@LAD,L3-0,3,0,1,0,0,0,0,0,0,1,0,0,.302,.400,.556,.956
Wed 4/9,vsTEX,L6-2,4,1,2,0,1,0,1,0,0,0,0,0,.300,.403,.567,.969
Tue 4/8,vsTEX,W10-6,4,1,3,0,0,0,2,1,0,1,0,0,.286,.397,.536,.933
Mon 4/7,vsTEX,W7-0,3,1,2,0,0,0,1,1,0,0,1,0,.250,.365,.519,.884
Sun 4/6,vsSD,L8-7,3,1,0,0,0,0,0,2,0,1,0,0,.224,.339,.510,.849
Sat 4/5,vsSD,W7-1,3,0,0,0,0,0,0,2,0,2,0,1,.239,.333,.543,.877
Fri 4/4,vsSD,W3-1,3,0,0,0,0,0,0,1,0,1,0,0,.256,.327,.581,.908
Wed 4/2,@ATH,W10-2,5,2,3,0,0,2,5,1,0,1,0,0,.275,.333,.625,.958
Tue 4/1,@ATH,W7-4,5,1,2,0,0,1,3,0,0,1,0,0,.229,.282,.457,.739
april,78,13,25,4,2,6,22,9,0,20,1,1,.321,.391,.654,1.045
Mon 3/31,@ATH,W18-3,5,1,2,1,0,0,1,1,0,3,0,0,.200,.265,.367,.631
Sun 3/30,@ARI,L10-6,4,2,2,0,0,1,2,1,0,1,0,0,.160,.222,.320,.542
Sat 3/29,@ARI,W4-3,4,0,0,0,0,0,0,0,0,3,0,0,.095,.136,.143,.279
Fri 3/28,@ARI,L8-1,4,0,1,1,0,0,0,0,0,2,0,0,.118,.167,.176,.343
Thu 3/27,@ARI,W10-6,5,1,1,0,0,0,0,0,0,2,0,0,.077,.143,.077,.220
Wed 3/19,vsLAD,L6-3,4,0,0,0,0,0,0,1,0,3,0,0,.000,.111,.000,.111
Tue 3/18,vsLAD,L4-1,4,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
march,30,4,6,2,0,1,3,3,0,15,0,0,.200,.265,.367,.631
Totals,163,23,39,7,2,11,35,14,0,52,1,2,.239,.298,.509,.807
Chicago Cubs,25,19,.568,-,L1
St. Louis,24,20,.545,1,W1
Milwaukee,21,23,.477,4,W1
Cincinnati,20,24,.455,5,L3
Pittsburgh,15,29,.341,10,W1
