Rank,Player,Team,Pos,Value
1,Bobby Witt Jr.,Kansas City Royals,SS,18
2,Alex Bregman,Boston Red Sox,2B,17
3,Brendan Donovan,St. Louis Cardinals,2B,16
3,Pete Alonso,New York Mets,1B,16
5,Bo Bichette,Toronto Blue Jays,SS,15
6,Jackson Chourio,Milwaukee Brewers,LF,14
6,Manny Machado,San Diego Padres,3B,14
6,Rafael Devers,Boston Red Sox,3B,14
6,Anthony Volpe,New York Yankees,SS,14
10,Salvador Perez,Kansas City Royals,C,13
10,Geraldo Perdomo,Arizona Diamondbacks,SS,13
10,Freddie Freeman,Los Angeles Dodgers,1B,13
10,Jung Hoo Lee,San Francisco Giants,CF,13
10,Aaron Judge,New York Yankees,CF,13
10,Gavin Lux,Cincinnati Reds,LF,13
10,Maikel Garcia,Kansas City Royals,3B,13
17,Spencer Torkelson,Detroit Tigers,1B,12
17,Josh Naylor,Arizona Diamondbacks,1B,12
17,Nick Castellanos,Philadelphia Phillies,RF,12
17,Lawrence Butler,Sacramento Athletics,RF,12
17,Bryce Harper,Philadelphia Phillies,1B,12
17,Pavin Smith,Arizona Diamondbacks,1B,12
17,Pete Crow-Armstrong,Chicago Cubs,CF,12
24,Seiya Suzuki,Chicago Cubs,RF,11
24,Hunter Goodman,Colorado Rockies,C,11
24,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,11
24,Jarren Duran,Boston Red Sox,CF,11
24,Jose Trevino,Cincinnati Reds,C,11
24,Paul Goldschmidt,New York Yankees,1B,11
24,Nico Hoerner,Chicago Cubs,2B,11
24,Kyle Farmer,Colorado Rockies,2B,11
24,Heliot Ramos,San Francisco Giants,CF,11
24,James Wood,Washington Nationals,LF,11
34,Eric Wagaman,Miami Marlins,3B,10
34,Lars Nootbaar,St. Louis Cardinals,RF,10
34,Adolis Garcia,Texas Rangers,RF,10
34,Tyler Soderstrom,Sacramento Athletics,1B,10
34,Ryan Mountcastle,Baltimore Orioles,1B,10
34,Teoscar Hernandez,Los Angeles Dodgers,LF,10
34,Riley Greene,Detroit Tigers,LF,10
34,Miguel Vargas,Chicago White Sox,3B,10
34,George Springer,Toronto Blue Jays,RF,10
34,Michael Busch,Chicago Cubs,1B,10
34,Jacob Wilson,Sacramento Athletics,SS,10
34,Randy Arozarena,Seattle Mariners,LF,10
34,Jonathan India,Kansas City Royals,2B,10
34,Agustin Ramirez,Miami Marlins,C,10
34,Max Kepler,Philadelphia Phillies,RF,10
34,Nolan Arenado,St. Louis Cardinals,3B,10
34,Willy Adames,San Francisco Giants,SS,10
34,Ben Rice,New York Yankees,1B,10
52,Nolan Schanuel,Los Angeles Angels,1B,9
52,Kyle Tucker,Chicago Cubs,RF,9
52,Corbin Carroll,Arizona Diamondbacks,RF,9
52,JJ Bleday,Sacramento Athletics,CF,9
52,Jose Ramirez,Cleveland Guardians,3B,9
52,Taylor Ward,Los Angeles Angels,LF,9
52,Cal Raleigh,Seattle Mariners,C,9
52,Ryan Jeffers,Minnesota Twins,C,9
52,Trea Turner,Philadelphia Phillies,SS,9
52,Michael Harris II,Atlanta Braves,LF,9
52,Brandon Nimmo,New York Mets,LF,9
52,Michael Conforto,Los Angeles Dodgers,LF,9
52,Miguel Amaya,Chicago Cubs,C,9
52,CJ Abrams,Washington Nationals,SS,9
52,Will Smith,Los Angeles Dodgers,C,9
52,Eugenio Suárez,Arizona Diamondbacks,3B,9
52,Yandy Diaz,Tampa Bay Rays,1B,9
52,Ian Happ,Chicago Cubs,LF,9
52,Mike Yastrzemski,San Francisco Giants,RF,9
52,Juan Soto,New York Mets,RF,9
52,Zach Neto,Los Angeles Angels,SS,9
52,Randal Grichuk,Arizona Diamondbacks,RF,9
52,Gio Urshela,Sacramento Athletics,3B,9
52,Jasson Dominguez,New York Yankees,LF,9
52,Steven Kwan,Cleveland Guardians,LF,9
52,Jonathan Aranda,Tampa Bay Rays,1B,9
52,Rhys Hoskins,Milwaukee Brewers,1B,9
52,Shohei Ohtani,Los Angeles Dodgers,P,9
52,Willson Contreras,St. Louis Cardinals,1B,9
52,Zach McKinstry,Detroit Tigers,RF,9
52,Michael Toglia,Colorado Rockies,1B,9
83,Austin Riley,Atlanta Braves,3B,8
83,Christian Walker,Houston Astros,1B,8
83,Lenyn Sosa,Chicago White Sox,3B,8
83,Ty France,Minnesota Twins,1B,8
83,Kristian Campbell,Boston Red Sox,2B,8
83,Matt Olson,Atlanta Braves,1B,8
83,Jorge Soler,Los Angeles Angels,RF,8
83,Spencer Steer,Cincinnati Reds,LF,8
83,Keibert Ruiz,Washington Nationals,C,8
83,Ceddanne Rafaela,Boston Red Sox,CF,8
83,Javier Baez,Detroit Tigers,CF,8
83,TJ Friedl,Cincinnati Reds,CF,8
83,Alex Verdugo,Atlanta Braves,LF,8
83,Gabriel Arias,Cleveland Guardians,3B,8
83,Jeremy Pena,Houston Astros,SS,8
83,Cody Bellinger,New York Yankees,CF,8
83,Xander Bogaerts,San Diego Padres,2B,8
83,Wilyer Abreu,Boston Red Sox,CF,8
